R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Nikola Jokic ,"PF,C",DEN,77,35.1,0.565(10.6/18.8),0.868(5.2/6.0),1.3,27.8,11,7.9,1.3,0.7,3.1,14.76
2,James Harden,"PG,SG",BRO,75,35.5,0.469(8.0/17.0),0.869(5.9/6.8),2.9,24.7,8,10.5,1.2,0.8,3.9,12.06
3,Stephen Curry ,"PG,SG",GSW,73,34,0.476(10.0/21.1),0.916(5.6/6.1),5,30.7,5.5,5.8,1.2,0.1,3.4,11.77
4,Kevin Durant,"SF,PF",BRO,68,33.1,0.529(9.0/17.0),0.882(6.0/6.8),2.3,26.3,7.1,5,0.7,1.3,3.4,10.84
5,Damian Lillard ,PG,POR,76,34.8,0.452(8.8/19.3),0.930(6.5/7.0),4,27.9,4.1,7.3,0.9,0.3,2.9,10.09
6,Karl-Anthony Towns,C,MIN,72,33.9,0.486(8.5/17.6),0.855(5.3/6.2),2.4,24.8,10.6,4.5,0.8,1.3,3.2,9.95
7,Bradley Beal,"SG,SF",WAS,68,34.6,0.469(11.2/23.8),0.879(6.8/7.7),2.6,31.8,4.7,5.8,1.2,0.4,3.1,9.27
8,Joel Embiid ,"PF,C",PHI,65,30.4,0.502(9.0/17.9),0.822(8.3/10.0),1.1,27.3,10.1,2.7,1,1.3,3,8.68
9,Jayson Tatum,"SF,PF",BOS,76,35.1,0.459(10.1/22.1),0.864(4.8/5.5),3,28.1,7.4,4.6,1.2,0.5,2.7,8.16
10,Giannis Antetokounmpo,"PF,C",MIL,74,33,0.572(10.3/18.0),0.684(6.5/9.5),1.1,28,11,5.9,1.2,1.2,3.4,7.99
11,Paul George ,"SF,PF",LAC,74,34,0.461(8.9/19.2),0.882(3.8/4.3),3.5,25.1,6.8,5.4,1.1,0.4,3.4,7.88
12,Luka Doncic ,"PG,SG",DAL,75,34.1,0.478(10.0/20.9),0.742(5.3/7.2),3,28.3,8.2,8.8,1,0.5,4.4,7.36
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,Anthony Davis,"PF,C",LAL,69,32.6,0.499(9.0/18.0),0.771(4.2/5.5),0.9,23.1,8.8,2,1.3,2,2,7.32
14,Trae Young,PG,ATL,78,33.2,0.441(7.9/17.8),0.889(6.6/7.4),2.4,24.7,3.8,9.5,0.8,0.2,4,6.8
15,Kyrie Irving ,"PG,SG",BRO,42,33.1,0.492(8.9/18.1),0.904(2.5/2.8),2.7,23,3.7,5.2,1.2,0.5,2.6,6.49
16,Bam Adebayo ,"PF,C",MIA,76,33.6,0.568(7.1/12.5),0.799(4.4/5.5),0,18.7,8.9,4.1,1.2,1,2.6,6.38
17,Fred VanVleet,"PG,SG",TOR,70,34.8,0.402(6.8/16.9),0.892(3.1/3.5),3.4,20.2,4,6,1.6,0.7,1.7,6.34
18,Jimmy Butler ,"SF,PF",MIA,72,32.8,0.492(6.7/13.7),0.864(6.6/7.6),0.5,20.5,5.4,4.3,1.7,0.3,2,6.22
19,Domantas Sabonis,"PF,C",IND,72,35.3,0.534(7.6/14.3),0.736(3.8/5.2),0.8,19.9,11.6,6.4,1.2,0.5,3.3,6.2
20,Shai Gilgeous-Alexander ,"PG,SG",OKL,70,34.1,0.510(8.3/16.3),0.815(5.4/6.6),2,24,4.9,6,0.8,0.7,3,6.15
21,Nikola Vucevic,C,CHI,76,32.8,0.472(8.4/17.8),0.860(1.9/2.2),2,20.7,11.1,2.9,0.9,0.8,1.8,5.97
22,LeBron James,"PG,SG,SF",LAL,74,32.4,0.514(9.1/17.7),0.702(3.9/5.5),2.2,24.3,7.4,7.3,1.1,0.6,3.6,5.86
23,Chris Paul,PG,PHX,72,30.4,0.486(6.0/12.4),0.922(2.4/2.6),1.5,15.9,4.4,8.6,1.3,0.3,2.2,5.78
24,Zach LaVine,"SG,SF",CHI,72,34,0.491(9.3/19.0),0.843(4.0/4.8),3.3,26,4.6,4.1,0.8,0.5,3.3,5.77
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
25,LaMelo Ball,"PG,SG",CHA,73,32.8,0.445(6.9/15.4),0.774(2.9/3.7),2.1,18.6,6.7,7,1.8,0.5,3.2,5.69
26,Michael Porter Jr. ,"SF,PF",DEN,67,32.5,0.516(7.9/15.3),0.816(2.0/2.4),3,20.8,7.9,1.2,0.7,0.9,1.4,5.61
27,Jrue Holiday,"PG,SG",MIL,72,32.1,0.500(6.9/13.9),0.781(1.8/2.3),1.9,17.5,4.5,6,1.6,0.6,2.2,5.56
28,Jaren Jackson Jr.,"PF,C",MEM,70,31.4,0.468(5.9/12.7),0.811(4.0/4.9),2,17.8,6.9,1.4,1.1,1.8,1.9,5.51
29,Rudy Gobert,C,UTA,76,30.9,0.671(5.5/8.2),0.622(3.3/5.3),0,14.4,13.5,1.3,0.6,2.7,1.7,5.38
30,Richaun Holmes,"PF,C",SAC,72,31.2,0.637(6.3/10.0),0.785(2.3/3.0),0,15,8.8,1.8,0.6,1.7,1.3,5.38
31,Tobias Harris ,"SF,PF",PHI,75,32.5,0.510(7.6/14.9),0.878(2.9/3.3),1.3,19.4,6.8,3.5,0.9,0.8,1.7,5.31
32,Donovan Mitchell,"PG,SG",UTA,72,33.4,0.441(9.1/20.7),0.834(5.0/6.0),3.4,26.6,4.4,5.5,1,0.3,2.8,5.2
33,Myles Turner,"PF,C",IND,72,30.6,0.478(4.3/9.1),0.759(2.2/3.0),1.5,12.4,6.4,1,0.9,3,1.4,5.19
34,Kristaps Porzingis ,"PF,C",DAL,69,30.9,0.451(7.9/17.5),0.856(2.8/3.3),2.4,21,9.3,1.7,0.5,1.5,1.2,5.12
35,Jaylen Brown ,"SG,SF",BOS,70,34.1,0.483(9.2/19.0),0.768(3.7/4.8),2.9,24.9,5.9,3.4,1.2,0.6,2.7,5.12
36,Brandon Ingram ,"SF,PF",NOP,73,34.5,0.464(8.5/18.2),0.869(4.6/5.3),2.3,23.9,4.9,4.9,0.7,0.6,2.5,5.06
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,Deandre Ayton,C,PHX,76,31.8,0.617(6.8/10.9),0.772(2.0/2.6),0.2,15.6,10.9,1.5,0.6,1.2,1.6,4.91
38,Clint Capela,C,ATL,75,31.5,0.586(6.5/11.0),0.582(2.0/3.4),0,14.9,14.9,0.8,0.7,2.1,1.3,4.84
39,Khris Middleton,"SF,PF",MIL,75,33.1,0.474(7.4/15.7),0.885(3.1/3.5),2.2,20.2,6,5.4,1.1,0.1,2.6,4.79
40,Devin Booker,"SG,SF",PHX,76,34.6,0.484(9.5/19.5),0.865(5.2/6.0),1.9,26.1,4.3,4.4,0.8,0.2,3.2,4.57
41,Julius Randle,"PF,C",NYK,77,36.4,0.463(7.8/16.8),0.816(4.7/5.8),1.8,22.1,9.8,4.8,0.9,0.3,3.3,4.52
42,OG Anunoby,"SF,PF",TOR,70,33.9,0.473(6.2/13.1),0.789(2.1/2.7),2.7,17.2,5.6,2.4,1.5,0.7,1.7,4.32
43,Tyrese Haliburton,"PG,SG",SAC,72,32.1,0.472(6.1/13.0),0.884(1.0/1.1),2.5,15.8,3.2,5.6,1.4,0.5,1.7,4.31
44,Robert Williams,C,BOS,68,23.5,0.695(4.2/6.0),0.636(1.1/1.7),0,9.5,8,2.1,0.9,2,1.2,4.2
45,Zion Williamson ,PF,NOP,60,31.5,0.602(10.2/17.0),0.699(6.0/8.6),0.2,26.6,7.1,4,1,0.7,2.9,4.19
46,CJ McCollum,"PG,SG",POR,72,33.5,0.457(8.5/18.5),0.822(2.3/2.8),3.5,22.7,3.8,4.6,0.9,0.4,1.4,4.12
47,Lonzo Ball,"PG,SG",CHI,70,33.1,0.420(5.4/12.8),0.777(0.9/1.2),3,14.7,4.9,5.9,1.5,0.6,2.3,4.02
